id,:TYPE,:START_ID,:END_ID,references,dependencyTypes,nrDependencies:INT,nrCalls:INT
SweetHome3D-contains-SweetHome3D-app,CONTAINS,SweetHome3D,SweetHome3D-app,{},,,
SweetHome3D-app-contains-com.eteks.sweethome3d.j3d,CONTAINS,SweetHome3D-app,com.eteks.sweethome3d.j3d,{},,,
SweetHome3D-app-contains-com.eteks.sweethome3d.tools,CONTAINS,SweetHome3D-app,com.eteks.sweethome3d.tools,{},,,
SweetHome3D-app-contains-com.eteks.sweethome3d.applet,CONTAINS,SweetHome3D-app,com.eteks.sweethome3d.applet,{},,,
SweetHome3D-app-contains-com.eteks.sweethome3d.viewcontroller,CONTAINS,SweetHome3D-app,com.eteks.sweethome3d.viewcontroller,{},,,
SweetHome3D-app-contains-com.eteks.sweethome3d.model,CONTAINS,SweetHome3D-app,com.eteks.sweethome3d.model,{},,,
SweetHome3D-app-contains-com.eteks.sweethome3d.plugin,CONTAINS,SweetHome3D-app,com.eteks.sweethome3d.plugin,{},,,
SweetHome3D-app-contains-com.eteks.sweethome3d.swing,CONTAINS,SweetHome3D-app,com.eteks.sweethome3d.swing,{},,,
SweetHome3D-app-contains-com.eteks.sweethome3d.junit,CONTAINS,SweetHome3D-app,com.eteks.sweethome3d.junit,{},,,
SweetHome3D-app-contains-com.eteks.sweethome3d.io,CONTAINS,SweetHome3D-app,com.eteks.sweethome3d.io,{},,,
SweetHome3D-app-contains-com.eteks.sweethome3d,CONTAINS,SweetHome3D-app,com.eteks.sweethome3d,{},,,
2794e78ed3c04030e0d1bdd6beaf27b1,CONTAINS,com.eteks.sweethome3d.swing,com.eteks.sweethome3d.swing.JPEGImagesToVideo,{},,,
85193638443833fbdfd390419ed0e19b,CONTAINS,com.eteks.sweethome3d.junit,com.eteks.sweethome3d.junit.PrintTest,{},,,
c89756a53e995ad16e4d42f28beec6e1,CONTAINS,com.eteks.sweethome3d.viewcontroller,com.eteks.sweethome3d.viewcontroller.HomeView$ActionType,{},,,
6ce0f8f3b4b60891a18a2a38206a7d06,CONTAINS,com.eteks.sweethome3d.viewcontroller,com.eteks.sweethome3d.viewcontroller.RoomController,{},,,
